Hashcode,Player,Age,Team,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,GIDP,HBP,SH,SF,Pos,MLS,Salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,E,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot,AVG
745168,Beau Arcia,28,WAT,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,0,6,0,0,0,"['CF,LF']",1.151,760000.0,ACB,['WAT'],['ACB'],2025,0,0,0,0,100,Active,0,Waterloo,Caribou,0
1011616,Hurston Fedde,30,SIO,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,8,0,0,0,[],6.0,70000000.0,NBL,['SIO'],['NBL'],2025,0,0,0,0,100,Active,0,Sioux Falls,Guanaco,0
694046,Alec Pressly,24,MCH,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0,0,0,4,0,0,0,['SS'],1.036,756200.0,ACB,['MCH'],['ACB'],2025,0,0,0,0,100,Active,0,McHenry,Asp,0
225618,Gary Wong,34,JOL,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,11,0,0,0,['2B'],9.118,26000000.0,ACB,['JOL'],['ACB'],2025,0,0,0,0,100,Active,0,Joliet,list,0
1036108,Jesús Yastrzemski,26,SHR,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,11,0,0,0,"['RF,LF']",5.134,31000000.0,ACB,['SHR'],['ACB'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
518075,Yu Madrigal,25,CHE,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,5,0,0,0,['SS'],2.0,3111111.0,ACB,['CHE'],['ACB'],2025,0,0,0,0,100,Active,0,Chesapeake,Squirrel,0
275923,Andy Nimmo,33,SHR,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,24,0,0,0,"['CF,RF,LF']",7.051,40000000.0,ACB,['SHR'],['ACB'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
1109,Patrick Allen,26,SAN,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0,0,0,20,0,0,0,"['1B,3B']",4.157,19900000.0,ACB,['SAN'],['ACB'],2025,0,0,0,0,100,Active,0,Santa Rosa,Coyote,0
596212,Spencer Jacob,23,BOS,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,12,0,0,0,['SS'],0.118,742500.0,NBL,['BOS'],['NBL'],2025,0,0,0,0,100,Active,0,Boston,Common household pests,0
1024296,Luken Assad,30,WES,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,14,0,0,0,['1B'],5.0,20500000.0,NBL,['WES'],['NBL'],2025,0,0,0,0,100,Active,0,Westminster,Gila monster,0
832316,Lake Irvin,23,COR,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0,0,19,0,0,0,['SS'],1.014,1714286.0,NBL,['COR'],['NBL'],2025,0,0,0,0,100,Active,0,Corpus Christi,Ermine,0
433494,Miles Wade Jr.,30,SHR,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,8,0,0,0,"['LF,RF']",4.163,10250000.0,NBL,['SHR'],['NBL'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
68893,Justyn-Henry Gomes,32,POR,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,6,0,0,0,['LF'],8.086,20000000.0,NBL,['POR'],['NBL'],2025,0,0,0,0,100,Active,0,Portsmouth,Penguin,0
332299,Jose Gurriel,31,WES,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,7,0,0,0,['SS'],8.113,34100000.0,NBL,['WES'],['NBL'],2025,0,0,0,0,100,Active,0,Westminster,Gila monster,0
299335,Bobby Faucher,24,SHR,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0,0,10,0,0,0,['SS'],1.0,810100.0,ACB,['SHR'],['ACB'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
28082,Chris Fried,29,TEM,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,13,0,0,0,['SS'],5.105,12250000.0,NBL,['TEM'],['NBL'],2025,0,0,0,0,100,Active,0,Tempe,Steelhead trout,0
159526,Mike Rogers,34,RIV,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0,25,0,0,0,[],10.124,18000000.0,NBL,['RIV'],['NBL'],2025,0,0,0,0,100,Active,0,Riverside,Fancy rat,0
18417,Joshua De Los Santos,31,RIV,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,16,0,0,0,['1B'],6.103,22000000.0,NBL,['RIV'],['NBL'],2025,0,0,0,0,100,Active,0,Riverside,Fancy rat,0
231176,Austin Lovelady,24,SOU,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0,0,0,3,0,0,0,"['CF,RF']",1.038,3625000.0,NBL,['SOU'],['NBL'],2025,0,0,0,0,100,Active,0,South Lyon,Toad,0
658236,Bryan Uribe,35,GRA,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,16,0,0,0,['2B'],12.072,29200000.0,ACB,['GRA'],['ACB'],2025,0,0,0,0,100,Active,0,Grayslake,Spider monkey,0
621574,José Jax,32,GAS,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0,9,0,0,0,['3B'],9.074,17000000.0,ACB,['GAS'],['ACB'],2025,0,0,0,0,100,Active,0,Gastonia,Slug,0
416859,Graham Contreras,27,TEM,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0,0,0,21,0,0,0,['C'],2.112,766900.0,NBL,['TEM'],['NBL'],2025,0,0,0,0,100,Active,0,Tempe,Steelhead trout,0
210181,Jo Chapman,28,MON,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0,0,0,21,0,0,0,"['1B,2B', '2B,1B']",0.0,740000.0,NBL,['MON'],['NBL'],2025,0,0,0,0,100,Active,0,Montgomery,Pigeon,0
923852,Josh Holman,32,MON,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,14,0,0,0,"['LF,1B']",9.165,1000000.0,NBL,['MON'],['NBL'],2025,0,0,0,0,100,Active,0,Montgomery,Pigeon,0
915601,Jack Bader,30,MCH,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,13,0,0,0,"['RF,1B']",5.162,11700000.0,ACB,['MCH'],['ACB'],2025,0,0,0,0,100,Active,0,McHenry,Asp,0
294150,Vaughn Wood,28,SHR,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,6,0,0,0,['2B'],5.162,14200000.0,ACB,['SHR'],['ACB'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
106184,Adam Quintana,32,WES,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0,0,0,9,0,0,0,"['LF,CF']",7.042,20500000.0,NBL,['WES'],['NBL'],2025,0,0,0,0,100,Active,0,Westminster,Gila monster,0
668198,Austin Melendez,31,SAI,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0,0,11,0,0,0,['LF'],3.164,4800000.0,ACB,['SAI'],['ACB'],2025,0,0,0,0,100,Active,0,Saint Petersburg,Platypus,0
305091,Sam Francis,33,POR,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,17,0,0,0,['RF'],10.029,20000000.0,NBL,['POR'],['NBL'],2025,0,0,0,0,100,Active,0,Portsmouth,Penguin,0
112459,Kyle Lange,30,LAS,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0,0,8,0,0,0,['LF'],6.036,21000000.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
270922,Ryan Strickland,31,MON,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0,0,20,0,0,0,"['1B,2B']",4.0,7286714.0,NBL,['MON'],['NBL'],2025,0,0,0,0,100,Active,0,Montgomery,Pigeon,0
596123,Matt King,27,BOS,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,5,0,0,0,"['LF,1B,2B,RF,SS']",1.035,750000.0,NBL,['BOS'],['NBL'],2025,0,0,0,0,100,Active,0,Boston,Common household pests,0
113481,Calvin Caratini,37,HEN,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,25,0,0,0,['1B'],12.059,25333333.0,NBL,['HEN'],['NBL'],2025,0,0,0,0,100,Active,0,Henderson,Sperm whale,0
946423,Austin Vilade,28,HEN,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0,6,0,0,0,"['LF,2B,3B,RF']",2.0,757200.0,NBL,['HEN'],['NBL'],2025,0,0,0,0,100,Active,0,Henderson,Sperm whale,0
92941,Ryan Floro,32,SIO,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,7,0,0,0,"['LF,RF']",6.097,23500000.0,NBL,['SIO'],['NBL'],2025,0,0,0,0,100,Active,0,Sioux Falls,Guanaco,0
682449,Tyler Whitlock,35,CHE,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0,0,19,0,0,0,"['C,1B']",12.05,20000000.0,ACB,['CHE'],['ACB'],2025,0,0,0,0,100,Active,0,Chesapeake,Squirrel,0
964856,Chris Stephens,27,GRA,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,17,0,0,0,['SS'],2.0,783500.0,ACB,['GRA'],['ACB'],2025,0,0,0,0,100,Active,0,Grayslake,Spider monkey,0
202165,David Gurriel,30,YON,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0,0,0,7,0,0,0,"['LF,CF']",3.129,8100000.0,ACB,['YON'],['ACB'],2025,0,0,0,0,100,Active,0,Yonkers,Guinea pig,0
90282,Matt d'Arnaud,32,TUS,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,16,0,0,0,['3B'],6.109,19000000.0,NBL,['TUS'],['NBL'],2025,0,0,0,0,100,Active,0,Tuscaloosa,Fowl,0
625152,Miguel Gordon,30,COR,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0,0,0,10,0,0,0,['3B'],6.006,12000000.0,NBL,['COR'],['NBL'],2025,0,0,0,0,100,Active,0,Corpus Christi,Ermine,0
372791,Daz Kirilloff,32,MON,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,31,0,0,0,['3B'],11.056,17090909.0,NBL,['MON'],['NBL'],2025,0,0,0,0,100,Active,0,Montgomery,Pigeon,0
